tweet_id,timestamp,username,text,likes,retweets,comments,tweet_url
2038066542529896488,Sun Mar 29 01:31:43 +0000 2026,MiskinTV_,"Kembali terjadi penolakan masyarakat terhadap pembangunan Koperasi Desa Merah Putih. Alasannya terkait dengan penggunaan tanah yang semena2.

Yang gw khawatirkan cuma akan ada ketegangan antara warga vs aparat, karena spt kita tau Aparat jadi salah satu kepanjangan tangan Pemerintah dalam menyukseskan program ini.

Lokasi di Pati, Jawa Tengah",0,0,0,https://x.com/MiskinTV_/status/2038066542529896488
2038063678420136318,Sun Mar 29 01:20:20 +0000 2026,_Haris_Srg,"Harusnya @prabowo sadar diri dulu, jgn kritik kepala daerah yg boros unefisien kalau dirinya lebih tak efisien sebagai kepala negara. Infrastruktur masih byk yg menprihatinkan tapi membuat kabinet yg gebuk. Bikin MBG yg cuma jadi taik. Buat Kopdes Merah Putih yg  pasti dikorup.",0,0,0,https://x.com/_Haris_Srg/status/2038063678420136318
2038047233547927855,Sun Mar 29 00:15:00 +0000 2026,grockacw,"Tempat Ikonik Yang Tersebar Di Dunia : 

Amerika - Times Square &amp; Empire State Building

Jepang - Shibuya Crossing &amp; Himeji Castle

United Arab Emirates - Burj Khalifa &amp; Palm Jumeirah

Indonesia - KopDes Merah Putih ( KDMP ) &amp; Gedung SPPG MBG",0,0,0,https://x.com/grockacw/status/2038047233547927855
2037928293798916164,Sat Mar 28 16:22:22 +0000 2026,rois_aly,"@SarjanaEksu Yg masih jd pertanyaan,apakah tdk ada yg benar2 kroscek smpai bawah ttg MBG dan Kopdes Merah Putih?cuma dpt laporan2 bagus di atas kertas,lalu pidato berapi api ttg keberhasilan 2 program itu",0,0,0,https://x.com/rois_aly/status/2037928293798916164
2037926840741011707,Sat Mar 28 16:16:36 +0000 2026,ariz_twt,"@iwanpiliang7 MBG dan KDMP (Koperasi Desa Merah Putih) itu utk Pertumbuhan dan pemerataan.

Sebagai putera negawan ekonomi, presiden prabowo ingin mewujudkan itu. Semoga berhasil. In syaa Allah.",0,0,0,https://x.com/ariz_twt/status/2037926840741011707
2037899762134032744,Sat Mar 28 14:29:00 +0000 2026,siddactivity,"@The_RedsIndo Bukan 58% tapi 70% coy, disni rata² 1M setahun dipangkas jd 300jt, dan sisa nya buat koperasi merah putih.",0,0,0,https://x.com/siddactivity/status/2037899762134032744
2037897337146912959,Sat Mar 28 14:19:22 +0000 2026,hafiizhar,@RakyatBerbisik Kayaknya kopdes merah putih ini bagus untuk 20th yg lalu,1,0,0,https://x.com/hafiizhar/status/2037897337146912959
2037895529448054941,Sat Mar 28 14:12:11 +0000 2026,_Haris_Srg,"Kebijakan latah Presiden Tua. 
1. Lihat stanting, buat MBG.
2. Didesa susah sembako, buat Kopdes Merah Putih. 
3. Lihat seng bocor, buat Gentengisasi. 
4. Krisis minyak, buat mobil, motor listrik. 
5. Lihat pemukiman ilegal pinggir rel, bangun rumah pinggiran rel. 

Lawak-lawak.",0,0,0,https://x.com/_Haris_Srg/status/2037895529448054941
2037888748743163948,Sat Mar 28 13:45:14 +0000 2026,Catatan_ali7,"Khusus koperasi merah putih gua demen Mempersempit ruang Korupsi Dana Desa kepala desa atau lurah

Karna selama ini memang dana desa dibeberapa daerah sama sekali tidak terasa https://t.co/rENMtnx814",0,0,0,https://x.com/Catatan_ali7/status/2037888748743163948
2037867715936006152,Sat Mar 28 12:21:39 +0000 2026,DMieaceh80579,"@as_siglie @paturday182 Siapa bilang Indonesia Miskin""
Coba lihat para pejabat  executive, Legislative, Yukikadif,  semua nya kaya-kaya.
Apalagi semenjak Prabowo berkuasa, bergelimpangan dengan Proyek-Proyek Bancakan.
Sekarang ada MBG, dan menyusul Proyek Koperasi Merah putih.",0,0,0,https://x.com/DMieaceh80579/status/2037867715936006152
